genre,tempo_bpm,spectral_centroid,spectral_rolloff,chroma_mean
country,112.35,1934.74,4048.31,0.3652
country,143.55,1261.5,2422.34,0.2926
country,152.0,1711.33,3556.51,0.345
country,152.0,1548.91,3289.38,0.3749
country,136.0,1534.05,3117.76,0.355
country,95.7,2187.13,4840.87,0.3719
country,184.57,1513.07,2922.45,0.3373
country,66.26,1144.89,2223.76,0.3762
country,80.75,963.65,1754.93,0.3103
country,99.38,2049.25,4434.52,0.3873
country,117.45,2253.41,4799.53,0.3859
country,73.83,1596.32,3291.64,0.3379
country,117.45,1879.44,4031.43,0.3722
country,143.55,1591.31,3162.97,0.3286
country,103.36,1622.81,3527.17,0.3537
country,136.0,1927.53,3883.61,0.3714
country,117.45,1563.38,3233.79,0.3535
country,86.13,1537.78,3055.56,0.251
country,89.1,1557.75,3220.95,0.3289
country,117.45,1754.32,3505.0,0.3258
country,112.35,1561.04,3175.33,0.348
country,117.45,1425.28,2981.19,0.271
country,143.55,2157.48,4478.69,0.3809
disco,92.29,3592.22,8074.82,0.412
disco,129.2,3045.78,6206.43,0.4952
disco,123.05,3328.48,7195.77,0.3821
disco,107.67,2722.84,5472.25,0.448
disco,123.05,2848.4,5506.66,0.474
disco,129.2,3099.08,6098.2,0.4316
disco,123.05,2801.72,5445.95,0.4543
disco,129.2,3016.97,5955.04,0.4422
disco,95.7,3132.98,6864.15,0.3735
disco,112.35,2737.36,5710.01,0.4284
disco,184.57,3391.37,7203.95,0.4216
disco,103.36,3087.48,6530.04,0.4362
disco,123.05,2362.41,5439.76,0.4148
disco,117.45,2117.6,4198.64,0.445
disco,161.5,2116.94,4349.14,0.3426
disco,107.67,3248.71,7422.74,0.4013
disco,123.05,3708.11,7808.48,0.4354
disco,112.35,3167.56,6730.13,0.4354
disco,129.2,2624.81,5605.78,0.3727
disco,123.05,2410.17,5080.41,0.358
disco,117.45,3043.44,6612.5,0.4012
disco,112.35,2908.67,6348.17,0.4854
disco,123.05,3715.19,7728.13,0.4831
disco,103.36,3075.02,6847.72,0.384
disco,136.0,3167.96,6935.54,0.4501
disco,112.35,2446.97,4958.04,0.3684
disco,129.2,2450.06,5023.35,0.3919
disco,129.2,3653.66,7835.3,0.3577
disco,123.05,3353.4,7042.79,0.3706
disco,112.35,2328.09,4866.67,0.3411
disco,161.5,1776.21,3874.37,0.3557
disco,103.36,2403.59,4900.74,0.394
disco,129.2,2875.44,6020.83,0.4202
disco,123.05,2330.18,4644.44,0.3669
disco,123.05,1710.98,3238.87,0.2206
disco,123.05,2396.99,4920.58,0.4212
disco,123.05,2590.9,5061.24,0.4163
disco,136.0,3078.47,6405.68,0.4678
disco,129.2,2108.22,4398.12,0.4632
disco,89.1,1755.06,3815.53,0.3584
disco,123.05,2280.03,4829.17,0.4038
disco,129.2,1974.51,4249.84,0.4349
disco,123.05,2549.27,5583.14,0.3233
disco,107.67,2387.68,4920.0,0.427
disco,129.2,2583.58,5856.39,0.5481
disco,123.05,2144.87,4947.81,0.3883
disco,107.67,1931.04,4516.06,0.3894
disco,107.67,2449.24,5184.52,0.4555
disco,112.35,2809.07,6001.64,0.4356
disco,112.35,2847.38,5925.94,0.4463
disco,112.35,2648.81,5546.03,0.4028
disco,136.0,2690.5,5775.49,0.4292
disco,129.2,2251.76,4557.35,0.3532
disco,129.2,2218.89,4882.13,0.3319
disco,123.05,2292.34,5038.59,0.453
disco,123.05,2577.21,5419.99,0.4227
disco,117.45,1959.07,4352.01,0.4142
disco,123.05,3004.28,6576.21,0.5681
disco,123.05,1867.94,3804.78,0.3952
disco,107.67,2139.93,4527.83,0.3847
disco,123.05,2238.53,4384.24,0.398
disco,129.2,2574.46,5458.63,0.4853
disco,99.38,2038.02,4205.29,0.4166
disco,117.45,2457.29,5267.46,0.3708
disco,107.67,2460.98,5018.79,0.4082
disco,136.0,2207.51,5074.24,0.4171
disco,123.05,2487.33,5008.4,0.468
disco,123.05,2418.03,5386.46,0.441
hiphop,92.29,2808.93,5528.45,0.4572
hiphop,99.38,1490.68,3095.09,0.4042
hiphop,92.29,2492.95,5125.74,0.4672
hiphop,95.7,2372.69,5060.01,0.4493
hiphop,71.78,2709.17,5794.95,0.4907
hiphop,99.38,2858.19,6048.1,0.4643
hiphop,123.05,2047.18,4553.07,0.4327
hiphop,172.27,3070.84,5754.49,0.4536
hiphop,103.36,2200.11,4792.17,0.5606
hiphop,95.7,2284.34,4663.01,0.4273
hiphop,136.0,2095.49,4581.94,0.444
hiphop,99.38,1976.87,4277.4,0.3588
hiphop,103.36,1798.68,3626.82,0.3403
hiphop,198.77,2397.14,5283.62,0.4238
hiphop,99.38,2432.63,4919.15,0.4674
hiphop,99.38,2145.05,4956.07,0.4811
hiphop,143.55,2677.2,5366.39,0.4617
hiphop,99.38,2470.31,5255.72,0.4321
hiphop,99.38,2405.83,4987.58,0.4301
hiphop,99.38,2025.65,4603.51,0.4395
hiphop,92.29,2240.29,4728.44,0.381
hiphop,103.36,2517.79,4926.5,0.4309
hiphop,107.67,2305.15,4814.94,0.5073
hiphop,103.36,3460.24,7021.89,0.4756
hiphop,92.29,2639.34,5633.43,0.428
hiphop,99.38,3084.82,6779.03,0.4798
hiphop,99.38,2145.89,4529.89,0.4753
hiphop,198.77,3191.92,6355.54,0.4711
hiphop,143.55,2827.45,6197.06,0.5295
hiphop,117.45,2967.15,5804.45,0.5178
hiphop,143.55,3785.44,7074.19,0.4092
hiphop,184.57,2208.66,4416.68,0.3984
hiphop,92.29,2702.65,5555.3,0.4254
hiphop,92.29,2896.95,6007.05,0.4494
hiphop,117.45,2507.36,4457.42,0.3544
hiphop,184.57,2693.22,5976.56,0.3928
hiphop,95.7,2306.89,5000.43,0.4924
hiphop,99.38,1683.43,3618.54,0.427
hiphop,103.36,2500.47,5294.53,0.3935
hiphop,107.67,1735.18,3552.33,0.3906
hiphop,99.38,2355.84,5177.22,0.4916
hiphop,89.1,1811.51,3890.79,0.4007
hiphop,172.27,2677.75,5211.75,0.5062
hiphop,92.29,1949.44,4219.93,0.4997
hiphop,184.57,1717.34,3685.69,0.4396
hiphop,184.57,1811.68,3806.44,0.4736
hiphop,92.29,2448.91,4929.94,0.4719
hiphop,92.29,2671.14,5320.45,0.4456
hiphop,95.7,3053.84,6668.17,0.4983
hiphop,95.7,2544.7,5683.45,0.4221
hiphop,129.2,3297.9,7079.55,0.4895
hiphop,95.7,2500.46,6026.96,0.4309
hiphop,95.7,3185.16,7471.42,0.4038
hiphop,99.38,1821.46,4003.28,0.438
hiphop,92.29,2566.93,5932.11,0.4225
hiphop,99.38,2774.79,5968.69,0.4739
hiphop,117.45,2987.6,6404.82,0.4611
hiphop,95.7,2328.53,4935.34,0.4249
hiphop,103.36,3212.06,6310.64,0.4274
hiphop,103.36,1470.29,3279.0,0.5207
hiphop,103.36,2367.64,5016.46,0.4478
hiphop,112.35,2044.21,4074.27,0.5133
hiphop,112.35,2607.86,5534.64,0.4766
hiphop,99.38,2083.44,4479.44,0.4797
hiphop,136.0,2473.25,5509.7,0.5838
hiphop,117.45,2694.78,5599.72,0.4602
hiphop,152.0,2272.54,4964.22,0.4826
hiphop,103.36,2629.04,5411.57,0.5336
hiphop,112.35,2330.14,5836.39,0.4779
hiphop,152.0,1929.8,4412.41,0.459
hiphop,112.35,2735.69,5419.75,0.5625
hiphop,107.67,1752.52,3490.59,0.4249
hiphop,107.67,2538.64,5353.53,0.5335
metal,95.7,3274.5,6408.0,0.4877
metal,78.3,2922.92,6037.13,0.4769
metal,112.35,2198.92,4447.47,0.4328
metal,99.38,2752.29,5234.81,0.4877
metal,136.0,3403.08,6902.99,0.6347
metal,152.0,2939.59,5806.93,0.5815
metal,172.27,2803.07,5262.39,0.605
metal,136.0,3047.62,5735.61,0.6363
metal,152.0,2877.54,5198.59,0.5527
metal,107.67,3046.64,5734.98,0.5256
metal,136.0,2218.83,4780.27,0.37
metal,112.35,2410.88,4950.01,0.4787
metal,136.0,2384.63,4584.13,0.4656
metal,136.0,2789.43,5346.43,0.4811
metal,123.05,2954.99,5928.19,0.441
metal,117.45,2502.98,4762.88,0.4366
metal,123.05,2030.49,4224.3,0.4804
metal,161.5,2707.02,5291.12,0.407
metal,143.55,2685.68,5331.26,0.5191
metal,95.7,2690.71,5088.62,0.4708
metal,107.67,2710.69,5083.1,0.5092
metal,117.45,2269.16,4186.56,0.457
metal,129.2,2464.29,4549.03,0.4367
metal,95.7,2683.23,4972.3,0.4383
metal,117.45,2760.05,5259.58,0.4698
metal,61.52,2390.33,4449.81,0.4304
metal,117.45,2795.33,5455.11,0.4824
metal,103.36,2908.3,5405.82,0.4312
metal,107.67,2889.07,5484.79,0.477
metal,112.35,2986.81,5628.38,0.5023
metal,107.67,3400.86,6163.29,0.5167
metal,161.5,2716.92,5123.15,0.5339
metal,123.05,2906.63,5518.77,0.4929
metal,123.05,3113.77,5829.25,0.5104
metal,172.27,3108.52,5699.25,0.4992
metal,129.2,2718.69,5228.84,0.4875
metal,143.55,2459.52,5024.35,0.4615
metal,89.1,2315.28,4615.88,0.5404
metal,107.67,2710.69,5083.1,0.5092
metal,117.45,2269.16,4186.56,0.457
metal,129.2,2464.29,4549.03,0.4367
metal,61.52,2390.33,4449.81,0.4304
metal,136.0,2254.61,4381.53,0.4692
metal,161.5,2302.53,4598.99,0.463
metal,161.5,1740.93,4109.83,0.4542
metal,117.45,2743.07,5626.14,0.4148
metal,86.13,2807.81,5673.86,0.4801
metal,123.05,2339.89,4708.19,0.4454
metal,143.55,2642.09,5567.13,0.4301
metal,123.05,2725.31,5496.88,0.4836
metal,152.0,2740.92,5408.7,0.4409
metal,99.38,2814.95,5897.16,0.5337
metal,123.05,2710.49,5323.44,0.4725
metal,161.5,2847.68,5929.64,0.4971
metal,152.0,2138.14,4201.11,0.5177
metal,152.0,2522.12,5088.76,0.4806
metal,123.05,2629.85,5190.92,0.4345
metal,95.7,3338.53,6670.9,0.5166
metal,117.45,1988.33,4148.1,0.4216
metal,172.27,2644.88,5176.92,0.4444
metal,161.5,2707.02,5291.12,0.407
metal,112.35,1983.78,4242.22,0.4919
metal,152.0,2241.16,4490.77,0.5105
metal,143.55,2375.37,4898.15,0.5163
pop,89.1,3422.07,7953.04,0.3897
pop,83.35,3214.02,7424.27,0.4178
pop,107.67,2753.23,5986.84,0.3844
pop,92.29,2125.39,4978.56,0.3745
pop,129.2,1967.74,4125.76,0.2517
pop,107.67,3279.53,6952.52,0.4547
pop,123.05,2200.37,4626.46,0.2256
pop,143.55,2150.03,5224.74,0.3562
pop,103.36,3207.62,7020.32,0.3867
pop,107.67,3488.9,7496.76,0.3888
pop,107.67,2789.39,6113.04,0.4354
pop,123.05,3433.99,7932.86,0.41
pop,107.67,3486.44,7442.56,0.4123
pop,99.38,3501.77,7199.71,0.5045
pop,103.36,3206.65,7019.8,0.387
pop,117.45,3301.09,7301.57,0.4111
pop,152.0,2927.99,6815.93,0.3303
pop,76.0,2525.59,5552.8,0.335
pop,99.38,2945.97,6654.68,0.3494
pop,161.5,2988.49,6919.16,0.3547
pop,95.7,3070.67,6653.08,0.3576
pop,95.7,3110.9,6744.99,0.3661
pop,95.7,4225.46,8483.38,0.4268
pop,99.38,2835.12,5944.98,0.423
pop,95.7,3141.58,7237.0,0.341
pop,107.67,3194.08,6993.55,0.4119
pop,99.38,2944.41,6878.24,0.3946
pop,92.29,3267.77,6921.26,0.4007
pop,129.2,1962.1,3820.65,0.2923
pop,107.67,2053.42,4506.52,0.2823
pop,92.29,3001.4,6442.93,0.3796
pop,136.0,2702.91,5775.68,0.4735
pop,117.45,3145.36,6691.94,0.4562
pop,117.45,2838.51,6486.95,0.4151
pop,112.35,3151.34,7293.57,0.4334
pop,129.2,4052.74,8382.99,0.465
pop,58.73,1988.19,4267.1,0.3228
pop,143.55,3046.52,6630.78,0.414
pop,112.35,4157.99,8677.73,0.447
pop,129.2,3497.72,7662.17,0.3903
pop,103.36,3941.42,8260.42,0.4331
pop,89.1,3682.74,7568.65,0.4732
pop,103.36,3672.85,7783.89,0.5185
pop,99.38,2939.07,5748.82,0.3399
pop,89.1,3728.39,7635.09,0.4756
pop,129.2,3497.72,7662.17,0.3903
pop,80.75,1826.44,3795.93,0.3167
pop,117.45,2519.35,5497.91,0.3459
pop,112.35,3889.14,8055.11,0.4472
pop,129.2,3262.99,6715.59,0.4074
pop,107.67,2327.3,4929.81,0.4969
pop,112.35,3889.14,8055.11,0.4472
pop,117.45,2568.45,5349.87,0.4807
pop,129.2,3669.81,7876.37,0.4236
pop,83.35,3420.36,7790.46,0.3494
pop,95.7,3644.72,7658.24,0.4093
pop,215.33,3543.32,7779.92,0.4755
pop,112.35,3151.41,7294.56,0.4335
pop,129.2,3169.13,7556.09,0.462
pop,99.38,3263.26,6830.04,0.4091
pop,117.45,2516.39,5087.95,0.4439
pop,129.2,3593.77,7634.61,0.3877
pop,99.38,3510.55,7255.87,0.4314
pop,99.38,3400.23,7052.72,0.437
pop,103.36,3603.82,7960.3,0.3532
pop,117.45,3694.92,7867.82,0.4246
pop,107.67,3270.08,6880.77,0.4874
pop,152.0,2806.87,6104.06,0.333
pop,103.36,3047.49,7385.89,0.3658
pop,92.29,3126.57,6931.92,0.3399
pop,99.38,3508.79,7585.04,0.4671
pop,117.45,3633.16,7532.77,0.3992
pop,78.3,2765.11,6871.27,0.3605
reggae,123.05,2133.35,4801.4,0.329
reggae,152.0,1638.93,3574.78,0.3491
reggae,103.36,1796.89,3925.26,0.3784
reggae,143.55,1923.6,4154.26,0.3914
reggae,123.05,2009.76,4304.88,0.4019
reggae,161.5,1798.38,3796.54,0.3648
reggae,152.0,1754.18,3768.99,0.386
reggae,95.7,1691.34,3656.06,0.3688
reggae,161.5,1609.84,3270.93,0.3831
reggae,123.05,1995.28,4557.77,0.4185
reggae,129.2,2300.04,4920.85,0.4272
reggae,123.05,1608.51,3436.71,0.3623
reggae,129.2,1716.05,3790.55,0.3951
reggae,129.2,1923.12,4492.27,0.3586
reggae,143.55,2118.55,4853.05,0.4195
reggae,129.2,1803.95,3779.06,0.4259
reggae,152.0,1907.61,4220.65,0.3947
reggae,143.55,1754.02,3840.34,0.394
reggae,129.2,1637.69,3595.62,0.3709
reggae,152.0,2006.85,4323.37,0.3901
reggae,152.0,2059.02,4553.2,0.4555
reggae,129.2,2354.89,5050.2,0.4285
reggae,136.0,1811.41,3854.85,0.3488
reggae,136.0,1840.86,4007.29,0.4028
reggae,89.1,1615.83,3560.66,0.4467
reggae,143.55,1930.4,4120.22,0.3738
reggae,152.0,1484.78,2775.19,0.3347
reggae,172.27,2455.43,5584.58,0.4492
reggae,143.55,2478.05,4759.94,0.3425
reggae,89.1,2673.22,5608.45,0.3901
reggae,95.7,2322.24,5450.57,0.3696
reggae,95.7,2955.03,5869.5,0.4603
reggae,99.38,3289.1,7286.3,0.502
reggae,129.2,2525.55,5595.36,0.4618
reggae,95.7,2169.66,4773.88,0.3732
reggae,123.05,2631.12,5698.11,0.3718
reggae,152.0,2671.48,5699.2,0.3759
reggae,92.29,3123.72,6474.56,0.3956
reggae,184.57,1910.88,3940.28,0.4161
reggae,172.27,3094.45,6975.23,0.4168
reggae,143.55,2460.59,5286.86,0.3626
reggae,143.55,3109.73,6393.12,0.4091
reggae,83.35,2152.9,5073.06,0.4496
reggae,172.27,2148.49,5064.0,0.4546
reggae,143.55,2481.52,4847.39,0.3897
reggae,161.5,2456.37,5054.46,0.4406
reggae,143.55,1778.17,3821.79,0.3956
reggae,161.5,2316.91,4680.05,0.4528
reggae,99.38,2539.08,5260.71,0.4769
reggae,99.38,2566.86,5313.7,0.4734
reggae,99.38,2566.86,5313.7,0.4734
reggae,129.2,1366.68,2563.33,0.3267
reggae,198.77,1788.52,3820.54,0.3226
reggae,86.13,1797.24,3439.68,0.3959
reggae,83.35,3296.46,6910.21,0.3877
reggae,107.67,3880.96,8249.67,0.3755
reggae,152.0,1052.54,2055.9,0.3697
reggae,143.55,2170.39,4305.98,0.3989
reggae,89.1,2109.8,4606.44,0.3708
reggae,123.05,2617.18,5719.16,0.4245
reggae,89.1,1630.16,3183.7,0.4164
reggae,161.5,2007.06,4137.22,0.2721
reggae,123.05,2026.42,4462.87,0.4102
reggae,117.45,2467.19,4723.59,0.4312
rock,123.05,1996.33,4227.87,0.3874
rock,152.0,1529.29,3271.45,0.3654
rock,107.67,1875.18,3929.49,0.4368
rock,95.7,1421.36,3042.7,0.3801
rock,103.36,1345.84,2939.16,0.3718
rock,112.35,1676.15,3255.33,0.3445
rock,89.1,1282.2,2675.91,0.3591
rock,89.1,1717.1,3362.15,0.4089
rock,76.0,1181.33,2367.35,0.3762
rock,161.5,1857.97,4191.67,0.3983
rock,112.35,1863.76,3986.23,0.3389
rock,123.05,1597.52,3826.67,0.4403
rock,117.45,1937.0,3985.82,0.3808
rock,136.0,2335.52,4500.06,0.3438
rock,143.55,2459.52,5024.35,0.4615
rock,117.45,2209.18,4593.89,0.4805
rock,117.45,2321.15,4701.36,0.4359
rock,184.57,2158.16,4245.81,0.3929
rock,73.83,2320.4,4466.44,0.4051
rock,103.36,2510.07,4735.12,0.4151
rock,152.0,2669.36,5445.87,0.4025
rock,136.0,2046.86,4095.47,0.4428
rock,123.05,2445.12,5173.57,0.4185
rock,92.29,2344.53,4728.64,0.3833
rock,117.45,1674.13,3431.79,0.3235
rock,136.0,2788.37,5832.2,0.4213
rock,129.2,1867.41,4271.11,0.4573
rock,136.0,2850.24,5897.61,0.4279
rock,136.0,2794.96,5862.42,0.4115
rock,143.55,2559.17,5447.02,0.4426
rock,112.35,3010.06,6131.28,0.4161
rock,161.5,2794.82,5878.16,0.4446
rock,89.1,2739.5,5326.74,0.4202
rock,92.29,1651.76,3455.75,0.3115
rock,152.0,1561.41,3243.29,0.3613
rock,103.36,2429.07,5035.57,0.3614
rock,107.67,2997.85,5962.27,0.4614
rock,129.2,1646.64,3184.3,0.3217
rock,112.35,2078.06,4496.09,0.3964
rock,123.05,1721.15,3811.32,0.3945
rock,172.27,3031.13,6732.75,0.3686
rock,129.2,2186.67,4462.89,0.3406
rock,117.45,3361.77,6920.34,0.4092
rock,107.67,2632.27,5309.98,0.3466
rock,129.2,1712.29,3618.4,0.4316
rock,136.0,3303.2,6717.26,0.4884
rock,123.05,3488.5,7659.96,0.3901
rock,136.0,2438.18,5499.36,0.301
rock,117.45,2424.52,5644.71,0.3395
rock,89.1,2796.58,6203.06,0.4055
rock,76.0,1711.17,3491.7,0.3296
rock,152.0,2181.34,4689.73,0.3743
rock,123.05,2294.23,4730.23,0.3953
rock,103.36,2414.16,5213.04,0.393
rock,123.05,2467.26,5402.81,0.402
rock,172.27,2568.4,5364.14,0.3115
rock,172.27,2511.71,5129.62,0.368
rock,112.35,2025.06,4570.99,0.4545
rock,95.7,2223.97,4917.48,0.4585
rock,112.35,2140.28,4831.46,0.3944
rock,117.45,2301.77,5092.04,0.4085
rock,95.7,1659.59,3580.33,0.3456
rock,107.67,2187.94,4993.8,0.4554
rock,99.38,1877.97,4285.49,0.358
rock,117.45,2606.26,5339.32,0.3686
rock,99.38,2975.77,5926.54,0.3827
rock,123.05,2116.15,4689.98,0.3787
rock,184.57,2255.87,4508.88,0.3218
rock,129.2,2334.52,4819.11,0.393
rock,92.29,2590.78,4889.45,0.4082
rock,123.05,2495.68,5213.03,0.2557
rock,143.55,2474.47,4754.65,0.4435
rock,129.2,2471.45,4687.27,0.4166
rock,103.36,1939.72,3748.52,0.3434
rock,112.35,2628.92,5085.98,0.3893
rock,117.45,2006.83,4149.17,0.3989
rock,129.2,2077.57,4031.53,0.432
rock,73.83,1398.65,3015.6,0.3626
rock,123.05,1609.79,3246.93,0.3583
